Localización;Precio m2 dic 2022 Eur/m2;Variación mensual;Variación trimestral;Variación anual;Máximo histórico Eur/m2;Variación máximo
España;11.4;1.5;2;8.4;11.5;0.3
Andalucía;9.6;1.7;6.2;9.8;9.6;0
Aragón;8.3;0;0.5;4.4;8.3;-0.4
Asturias;7.9;-0.2;0.7;4.9;10.8;-26.9
Baleares;13.8;0.7;2.5;14.5;14;-1.3
Canarias;11.8;1;4.5;14.2;11.8;0
Cantabria;8.9;2.1;-7.6;7.7;12.7;-30
Castilla y León;7.1;-0.5;-2;4.3;7.3;-2.6
Castilla-La Mancha;6.1;0;-1;4.3;6.2;-1
Cataluña;15.6;2.8;4.2;14.7;15.6;0
Comunitat Valenciana;9;1.4;0.9;15.8;9.4;-4.1
Euskadi;12.8;0.8;1.2;4.5;12.8;0
Extremadura;5.8;0.1;1.9;5.7;5.8;0
Galicia;7.7;1.1;1.7;5.1;8.7;-11.6
La Rioja;7.2;1.5;-2.3;6;7.4;-2.3
Madrid Comunidad;14.9;-0.3;-1.8;9.6;15.4;-3.2
Melilla;9.3;2.8;2.3;2.8;9.5;-2.6
Murcia Región;7;-1;-6.5;7.1;7.6;-7.9
Navarra;9.3;0.5;0;3;9.4;-0.8
