TIME;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgium;37.2;34.0;38.1;33.7;36.0;34.9;34.8;30.5;29.4;30.1
Bulgaria;48.2;36.3;40.8;30.8;50.4;51.0;50.1;41.0;44.8;45.4
Czechia;28.2;32.7;29.9;31.0;29.3;28.3;27.9;24.1;25.8;26.1
Denmark;34.7;37.1;32.9;31.9;31.6;31.7;28.9;30.7;25.2;30.3
Estonia;27.9;25.6;32.3;42.3;28.5;26.6;25.5;28.1;36.5;26.1
Ireland;21.3;16.6;19.1;17.7;19.3;21.5;14.3;17.8;16.7;10.6
Greece;53.0;58.3;87.5;86.8;84.6;83.9;83.1;83.2;79.2;74.6
Spain;44.7;42.3;47.5;43.3;43.0;42.1;38.1;37.4;35.9;40.9
France;16.2;16.2;15.8;14.9;16.5;14.7;14.9;17.7;18.2;-
Croatia;40.5;49.8;41.3;36.4;45.2;48.6;32.1;35.7;20.9;19.5
Italy;34.2;34.2;32.4;32.7;32.2;28.2;29.1;29.2;28.1;26.2
Cyprus;19.9;17.7;19.3;19.7;18.1;14.2;11.3;12.3;10.5;15.3
Latvia;18.1;17.1;15.1;13.6;13.0;11.2;11.5;8.3;13.5;10.7
Lithuania;55.7;23.5;37.3;30.3;48.3;42.5;30.9;21.9;19.5;12.4
Luxembourg;17.1;21.4;26.3;23.2;25.0;26.0;30.2;30.6;26.3;15.0
Hungary;38.5;37.3;41.4;32.4;36.6;30.6;46.9;22.4;46.4;14.2
Malta;21.1;25.9;22.6;14.6;22.3;13.9;12.1;17.6;13.3;13.6
Netherlands;19.7;23.2;24.8;25.0;28.0;26.2;25.6;27.0;22.8;48.3
Austria;17.3;15.5;15.6;15.3;15.6;15.5;14.5;14.8;12.7;13.1
Poland;27.1;28.5;25.5;26.3;24.5;23.6;26.4;26.9;19.7;20.7
Portugal;35.8;35.2;33.8;35.4;31.9;28.2;25.8;26.3;19.7;26.9
Romania;72.7;54.4;42.0;45.7;36.3;60.4;46.3;39.8;41.9;39.3
Slovenia;26.6;25.8;27.4;25.9;29.0;24.3;21.7;19.4;18.6;17.6
Slovakia;15.1;12.9;14.9;8.4;13.9;20.9;19.2;16.4;15.9;-
Finland;11.8;15.0;16.8;16.7;14.6;13.0;15.2;13.1;14.2;12.8
Sweden;17.3;18.1;17.7;18.7;18.0;19.3;18.8;19.8;18.0;18.8
Iceland;18.1;17.9;18.6;19.5;16.9;21.1;17.4;-;-;-
Norway;29.8;28.7;34.2;36.2;33.6;32.3;35.4;32.9;30.9;-
Switzerland;16.6;15.2;17.3;17.2;18.2;19.6;19.4;20.6;20.0;-
United Kingdom;23.8;25.3;34.6;37.1;35.4;38.6;37.7;-;-;-
Montenegro;-;55.1;56.4;59.1;60.0;52.0;51.7;40.8;46.7;-
North Macedonia;58.8;62.4;64.0;43.8;29.0;56.2;38.1;61.9;36.0;-
Albania;-;-;-;-;-;41.5;32.7;35.0;27.1;-
Serbia;-;62.4;67.5;65.5;70.3;63.5;71.0;56.3;62.3;-
Türkiye;37.4;44.4;39.4;36.1;34.4;32.4;32.1;33.0;29.2;-
